day_of_week,month,max_temp_c,is_holiday,is_business_day,restaurant_id,cuisine_type,restaurant_segment,first_course,second_course,dessert
6,1,6.3,0,0,18,Mediterranean,Business,Falafel,Brochetas de pavo,Macedonia
6,1,6.3,0,0,19,Grill,Business,Nachos con queso,Entrecot,Tarta de manzana
6,1,6.3,0,0,20,Italian,Business,Sopa de tomate,Pizza Margarita,Gelato
0,1,3.3,0,1,1,Grill,Gourmet,Champiñones,Costillas BBQ,Tarta de manzana
0,1,3.3,0,1,2,Spanish,Traditional,Crema de verduras,Merluza a la romana,Arroz con leche
0,1,3.3,0,1,3,Italian,Business,Tortellini nata,Risotto de setas,Panna Cotta
0,1,3.3,0,1,4,Italian,Business,Ravioli boloñesa,Risotto de setas,Gelato
0,1,3.3,0,1,5,Italian,Gourmet,Tortellini nata,Lasagna,Panna Cotta
0,1,3.3,0,1,6,Mediterranean,Traditional,Berenjena rellena,Lubina,Macedonia
0,1,3.3,0,1,7,Spanish,Family,Lentejas estofadas,Carrilleras al vino,Flan
0,1,3.3,0,1,8,Mediterranean,Family,Crema de calabacín,Salmón plancha,Yogur con miel
0,1,3.3,0,1,9,Italian,Traditional,Tortellini nata,Escalope Milanese,Panna Cotta
0,1,3.3,0,1,10,Mediterranean,Gourmet,Sopa de marisco,Brochetas de pavo,Fruta
0,1,3.3,0,1,11,Italian,Traditional,Ravioli boloñesa,Pizza Margarita,Gelato
0,1,3.3,0,1,12,Mediterranean,Traditional,Sopa de marisco,Brochetas de pavo,Yogur con miel
0,1,3.3,0,1,13,Grill,Gourmet,Nachos con queso,Hamburguesa Gourmet,Cheesecake
0,1,3.3,0,1,14,Spanish,Traditional,Potaje de garbanzos,Filete de ternera,Natillas
0,1,3.3,0,1,15,Spanish,Business,Lentejas estofadas,Carrilleras al vino,Natillas
0,1,3.3,0,1,16,Grill,Traditional,Sopa de cebolla,Secreto Ibérico,Tarta de manzana
0,1,3.3,0,1,17,Mediterranean,Traditional,Falafel,Lubina,Yogur con miel
0,1,3.3,0,1,18,Mediterranean,Business,Berenjena rellena,Brochetas de pavo,Macedonia
0,1,3.3,0,1,19,Grill,Business,Nachos con queso,Secreto Ibérico,Brownie
0,1,3.3,0,1,20,Italian,Business,Sopa de tomate,Pizza Margarita,Profiteroles
1,1,6.3,0,1,1,Grill,Gourmet,Champiñones,Costillas BBQ,Tarta de manzana
1,1,6.3,0,1,2,Spanish,Traditional,Sopa castellana,Merluza a la romana,Arroz con leche
1,1,6.3,0,1,3,Italian,Business,Minestrone,Lasagna,Panna Cotta
1,1,6.3,0,1,4,Italian,Business,Ravioli boloñesa,Risotto de setas,Gelato
1,1,6.3,0,1,5,Italian,Gourmet,Minestrone,Pizza Margarita,Profiteroles
1,1,6.3,0,1,6,Mediterranean,Traditional,Crema de calabacín,Pollo al horno,Macedonia
1,1,6.3,0,1,7,Spanish,Family,Crema de verduras,Carrilleras al vino,Flan
1,1,6.3,0,1,8,Mediterranean,Family,Berenjena rellena,Pollo al horno,Sorbete
1,1,6.3,0,1,9,Italian,Traditional,Tortellini nata,Escalope Milanese,Profiteroles
1,1,6.3,0,1,10,Mediterranean,Gourmet,Berenjena rellena,Pollo al horno,Macedonia
1,1,6.3,0,1,11,Italian,Traditional,Minestrone,Risotto de setas,Panna Cotta
1,1,6.3,0,1,12,Mediterranean,Traditional,Falafel,Brochetas de pavo,Macedonia
1,1,6.3,0,1,13,Grill,Gourmet,Champiñones,Entrecot,Tarta de manzana
1,1,6.3,0,1,14,Spanish,Traditional,Potaje de garbanzos,Tortilla de patata,Flan
1,1,6.3,0,1,15,Spanish,Business,Lentejas estofadas,Merluza a la romana,Natillas
1,1,6.3,0,1,16,Grill,Traditional,Champiñones,Hamburguesa Gourmet,Batido
1,1,6.3,0,1,17,Mediterranean,Traditional,Crema de calabacín,Lubina,Macedonia
1,1,6.3,0,1,18,Mediterranean,Business,Berenjena rellena,Brochetas de pavo,Sorbete
1,1,6.3,0,1,19,Grill,Business,Nachos con queso,Entrecot,Brownie
1,1,6.3,0,1,20,Italian,Business,Ravioli boloñesa,Pizza Margarita,Gelato
2,1,9.3,0,1,1,Grill,Gourmet,Nachos con queso,Hamburguesa Gourmet,Tarta de manzana
2,1,9.3,0,1,2,Spanish,Traditional,Crema de verduras,Merluza a la romana,Arroz con leche
2,1,9.3,0,1,3,Italian,Business,Sopa de tomate,Lasagna,Profiteroles
2,1,9.3,0,1,4,Italian,Business,Sopa de tomate,Pizza Margarita,Gelato
2,1,9.3,0,1,5,Italian,Gourmet,Sopa de tomate,Lasagna,Profiteroles
2,1,9.3,0,1,6,Mediterranean,Traditional,Berenjena rellena,Pollo al horno,Macedonia
2,1,9.3,0,1,7,Spanish,Family,Crema de verduras,Carrilleras al vino,Flan
2,1,9.3,0,1,8,Mediterranean,Family,Berenjena rellena,Salmón plancha,Yogur con miel
2,1,9.3,0,1,9,Italian,Traditional,Tortellini nata,Escalope Milanese,Panna Cotta
2,1,9.3,0,1,10,Mediterranean,Gourmet,Crema de calabacín,Pollo al horno,Macedonia
2,1,9.3,0,1,11,Italian,Traditional,Ravioli boloñesa,Pizza Margarita,Tiramisú
2,1,9.3,0,1,12,Mediterranean,Traditional,Falafel,Brochetas de pavo,Sorbete
2,1,9.3,0,1,13,Grill,Gourmet,Champiñones,Entrecot,Cheesecake
2,1,9.3,0,1,14,Spanish,Traditional,Sopa castellana,Filete de ternera,Arroz con leche
2,1,9.3,0,1,15,Spanish,Business,Sopa castellana,Filete de ternera,Fruta
2,1,9.3,0,1,16,Grill,Traditional,Sopa de cebolla,Secreto Ibérico,Brownie
2,1,9.3,0,1,17,Mediterranean,Traditional,Falafel,Pollo al horno,Sorbete
2,1,9.3,0,1,18,Mediterranean,Business,Berenjena rellena,Lubina,Macedonia
2,1,9.3,0,1,19,Grill,Business,Nachos con queso,Secreto Ibérico,Brownie
2,1,9.3,0,1,20,Italian,Business,Sopa de tomate,Pizza Margarita,Gelato
3,1,11.5,0,1,1,Grill,Gourmet,Champiñones,Hamburguesa Gourmet,Tarta de manzana
3,1,11.5,0,1,2,Spanish,Traditional,Paella Valenciana,Merluza a la romana,Fruta
3,1,11.5,0,1,3,Italian,Business,Tortellini nata,Risotto de setas,Tiramisú
3,1,11.5,0,1,4,Italian,Business,Ravioli boloñesa,Risotto de setas,Gelato
3,1,11.5,0,1,5,Italian,Gourmet,Tortellini nata,Risotto de setas,Profiteroles
3,1,11.5,0,1,6,Mediterranean,Traditional,Berenjena rellena,Brochetas de pavo,Macedonia
3,1,11.5,0,1,7,Spanish,Family,Paella Valenciana,Carrilleras al vino,Flan
3,1,11.5,0,1,8,Mediterranean,Family,Falafel,Salmón plancha,Yogur con miel
3,1,11.5,0,1,9,Italian,Traditional,Tortellini nata,Lasagna,Panna Cotta
3,1,11.5,0,1,10,Mediterranean,Gourmet,Falafel,Pollo al horno,Sorbete
3,1,11.5,0,1,11,Italian,Traditional,Minestrone,Risotto de setas,Panna Cotta
3,1,11.5,0,1,12,Mediterranean,Traditional,Sopa de marisco,Brochetas de pavo,Sorbete
3,1,11.5,0,1,13,Grill,Gourmet,Sopa de cebolla,Entrecot,Cheesecake
3,1,11.5,0,1,14,Spanish,Traditional,Paella Valenciana,Merluza a la romana,Arroz con leche
3,1,11.5,0,1,15,Spanish,Business,Paella Valenciana,Merluza a la romana,Fruta
3,1,11.5,0,1,16,Grill,Traditional,Champiñones,Secreto Ibérico,Brownie
3,1,11.5,0,1,17,Mediterranean,Traditional,Falafel,Salmón plancha,Sorbete
3,1,11.5,0,1,18,Mediterranean,Business,Crema de calabacín,Pollo al horno,Macedonia
3,1,11.5,0,1,19,Grill,Business,Nachos con queso,Secreto Ibérico,Brownie
3,1,11.5,0,1,20,Italian,Business,Ravioli boloñesa,Pizza Margarita,Gelato
4,1,3.3,0,0,1,Grill,Gourmet,Champiñones,Costillas BBQ,Cheesecake
4,1,3.3,0,0,2,Spanish,Traditional,Sopa castellana,Merluza a la romana,Arroz con leche
4,1,3.3,0,0,3,Italian,Business,Tortellini nata,Lasagna,Tiramisú
4,1,3.3,0,0,4,Italian,Business,Minestrone,Risotto de setas,Panna Cotta
4,1,3.3,0,0,5,Italian,Gourmet,Tortellini nata,Lasagna,Profiteroles
4,1,3.3,0,0,6,Mediterranean,Traditional,Berenjena rellena,Pollo al horno,Macedonia
4,1,3.3,0,0,7,Spanish,Family,Crema de verduras,Tortilla de patata,Arroz con leche
4,1,3.3,0,0,8,Mediterranean,Family,Crema de calabacín,Pollo al horno,Yogur con miel
4,1,3.3,0,0,9,Italian,Traditional,Tortellini nata,Escalope Milanese,Panna Cotta
4,1,3.3,0,0,10,Mediterranean,Gourmet,Crema de calabacín,Pollo al horno,Yogur con miel
4,1,3.3,0,0,11,Italian,Traditional,Sopa de tomate,Risotto de setas,Gelato
4,1,3.3,0,0,12,Mediterranean,Traditional,Sopa de marisco,Brochetas de pavo,Sorbete
4,1,3.3,0,0,13,Grill,Gourmet,Nachos con queso,Entrecot,Cheesecake
4,1,3.3,0,0,14,Spanish,Traditional,Potaje de garbanzos,Carrilleras al vino,Natillas
4,1,3.3,0,0,15,Spanish,Business,Sopa castellana,Filete de ternera,Fruta
4,1,3.3,0,0,16,Grill,Traditional,Sopa de cebolla,Secreto Ibérico,Brownie
4,1,3.3,0,0,17,Mediterranean,Traditional,Falafel,Lubina,Sorbete
4,1,3.3,0,0,18,Mediterranean,Business,Berenjena rellena,Brochetas de pavo,Macedonia
4,1,3.3,0,0,19,Grill,Business,Nachos con queso,Secreto Ibérico,Brownie
4,1,3.3,0,0,20,Italian,Business,Ravioli boloñesa,Pizza Margarita,Gelato
5,1,6.9,0,0,1,Grill,Gourmet,Alitas BBQ,Costillas BBQ,Tarta de manzana
5,1,6.9,0,0,2,Spanish,Traditional,Crema de verduras,Merluza a la romana,Arroz con leche
5,1,6.9,0,0,3,Italian,Business,Tortellini nata,Lasagna,Tiramisú
5,1,6.9,0,0,4,Italian,Business,Ravioli boloñesa,Risotto de setas,Gelato
5,1,6.9,0,0,5,Italian,Gourmet,Tortellini nata,Lasagna,Profiteroles
5,1,6.9,0,0,6,Mediterranean,Traditional,Berenjena rellena,Pollo al horno,Macedonia
5,1,6.9,0,0,7,Spanish,Family,Crema de verduras,Tortilla de patata,Flan
5,1,6.9,0,0,8,Mediterranean,Family,Sopa de marisco,Pollo al horno,Sorbete
5,1,6.9,0,0,9,Italian,Traditional,Tortellini nata,Escalope Milanese,Panna Cotta
5,1,6.9,0,0,10,Mediterranean,Gourmet,Falafel,Lubina,Fruta
5,1,6.9,0,0,11,Italian,Traditional,Minestrone,Pizza Margarita,Panna Cotta
5,1,6.9,0,0,12,Mediterranean,Traditional,Berenjena rellena,Brochetas de pavo,Fruta
5,1,6.9,0,0,13,Grill,Gourmet,Sopa de cebolla,Costillas BBQ,Batido
5,1,6.9,0,0,14,Spanish,Traditional,Potaje de garbanzos,Filete de ternera,Arroz con leche
5,1,6.9,0,0,15,Spanish,Business,Lentejas estofadas,Carrilleras al vino,Fruta
5,1,6.9,0,0,16,Grill,Traditional,Sopa de cebolla,Secreto Ibérico,Brownie
5,1,6.9,0,0,17,Mediterranean,Traditional,Falafel,Lubina,Sorbete
5,1,6.9,0,0,18,Mediterranean,Business,Crema de calabacín,Pollo al horno,Macedonia
5,1,6.9,0,0,19,Grill,Business,Champiñones,Entrecot,Tarta de manzana
5,1,6.9,0,0,20,Italian,Business,Ravioli boloñesa,Pizza Margarita,Gelato
6,1,7.2,0,0,1,Grill,Gourmet,Sopa de cebolla,Costillas BBQ,Tarta de manzana
6,1,7.2,0,0,2,Spanish,Traditional,Lentejas estofadas,Merluza a la romana,Arroz con leche
6,1,7.2,0,0,3,Italian,Business,Tortellini nata,Lasagna,Gelato
6,1,7.2,0,0,4,Italian,Business,Ravioli boloñesa,Risotto de setas,Gelato
6,1,7.2,0,0,5,Italian,Gourmet,Sopa de tomate,Lasagna,Profiteroles
6,1,7.2,0,0,6,Mediterranean,Traditional,Berenjena rellena,Pollo al horno,Macedonia
6,1,7.2,0,0,7,Spanish,Family,Crema de verduras,Tortilla de patata,Flan
6,1,7.2,0,0,8,Mediterranean,Family,Sopa de marisco,Lubina,Yogur con miel
6,1,7.2,0,0,9,Italian,Traditional,Tortellini nata,Escalope Milanese,Panna Cotta
6,1,7.2,0,0,10,Mediterranean,Gourmet,Sopa de marisco,Salmón plancha,Fruta
6,1,7.2,0,0,11,Italian,Traditional,Ravioli boloñesa,Escalope Milanese,Gelato
6,1,7.2,0,0,12,Mediterranean,Traditional,Sopa de marisco,Pollo al horno,Sorbete
6,1,7.2,0,0,13,Grill,Gourmet,Champiñones,Entrecot,Tarta de manzana
6,1,7.2,0,0,14,Spanish,Traditional,Potaje de garbanzos,Filete de ternera,Arroz con leche
6,1,7.2,0,0,15,Spanish,Business,Potaje de garbanzos,Merluza a la romana,Fruta
6,1,7.2,0,0,16,Grill,Traditional,Nachos con queso,Secreto Ibérico,Brownie
6,1,7.2,0,0,17,Mediterranean,Traditional,Falafel,Lubina,Yogur con miel
6,1,7.2,0,0,18,Mediterranean,Business,Berenjena rellena,Brochetas de pavo,Sorbete
6,1,7.2,0,0,19,Grill,Business,Alitas BBQ,Secreto Ibérico,Batido
6,1,7.2,0,0,20,Italian,Business,Minestrone,Lasagna,Panna Cotta
0,1,4.7,0,1,1,Grill,Gourmet,Champiñones,Costillas BBQ,Tarta de manzana
0,1,4.7,0,1,2,Spanish,Traditional,Crema de verduras,Merluza a la romana,Arroz con leche
0,1,4.7,0,1,3,Italian,Business,Tortellini nata,Lasagna,Gelato
0,1,4.7,0,1,4,Italian,Business,Sopa de tomate,Pizza Margarita,Gelato
0,1,4.7,0,1,5,Italian,Gourmet,Tortellini nata,Escalope Milanese,Profiteroles
0,1,4.7,0,1,6,Mediterranean,Traditional,Berenjena rellena,Salmón plancha,Sorbete
0,1,4.7,0,1,7,Spanish,Family,Crema de verduras,Tortilla de patata,Flan
0,1,4.7,0,1,8,Mediterranean,Family,Berenjena rellena,Salmón plancha,Yogur con miel
0,1,4.7,0,1,9,Italian,Traditional,Ravioli boloñesa,Escalope Milanese,Panna Cotta
0,1,4.7,0,1,10,Mediterranean,Gourmet,Falafel,Pollo al horno,Fruta
0,1,4.7,0,1,11,Italian,Traditional,Minestrone,Lasagna,Panna Cotta
0,1,4.7,0,1,12,Mediterranean,Traditional,Crema de calabacín,Brochetas de pavo,Sorbete
0,1,4.7,0,1,13,Grill,Gourmet,Nachos con queso,Entrecot,Tarta de manzana
0,1,4.7,0,1,14,Spanish,Traditional,Sopa castellana,Filete de ternera,Arroz con leche
0,1,4.7,0,1,15,Spanish,Business,Sopa castellana,Merluza a la romana,Fruta
0,1,4.7,0,1,16,Grill,Traditional,Sopa de cebolla,Secreto Ibérico,Brownie
0,1,4.7,0,1,17,Mediterranean,Traditional,Sopa de marisco,Lubina,Sorbete
0,1,4.7,0,1,18,Mediterranean,Business,Falafel,Brochetas de pavo,Macedonia
0,1,4.7,0,1,19,Grill,Business,Nachos con queso,Secreto Ibérico,Brownie
0,1,4.7,0,1,20,Italian,Business,Ravioli boloñesa,Pizza Margarita,Gelato
1,1,6.5,0,1,1,Grill,Gourmet,Sopa de cebolla,Costillas BBQ,Tarta de manzana
1,1,6.5,0,1,2,Spanish,Traditional,Potaje de garbanzos,Merluza a la romana,Arroz con leche
1,1,6.5,0,1,3,Italian,Business,Tortellini nata,Escalope Milanese,Gelato
1,1,6.5,0,1,4,Italian,Business,Ravioli boloñesa,Risotto de setas,Gelato
1,1,6.5,0,1,5,Italian,Gourmet,Tortellini nata,Lasagna,Profiteroles
1,1,6.5,0,1,6,Mediterranean,Traditional,Berenjena rellena,Pollo al horno,Macedonia
1,1,6.5,0,1,7,Spanish,Family,Crema de verduras,Carrilleras al vino,Flan
1,1,6.5,0,1,8,Mediterranean,Family,Falafel,Salmón plancha,Fruta
1,1,6.5,0,1,9,Italian,Traditional,Minestrone,Risotto de setas,Panna Cotta
1,1,6.5,0,1,10,Mediterranean,Gourmet,Sopa de marisco,Lubina,Macedonia
1,1,6.5,0,1,11,Italian,Traditional,Tortellini nata,Pizza Margarita,Gelato
1,1,6.5,0,1,12,Mediterranean,Traditional,Falafel,Brochetas de pavo,Sorbete
1,1,6.5,0,1,13,Grill,Gourmet,Alitas BBQ,Hamburguesa Gourmet,Cheesecake
1,1,6.5,0,1,14,Spanish,Traditional,Potaje de garbanzos,Filete de ternera,Flan
1,1,6.5,0,1,15,Spanish,Business,Sopa castellana,Merluza a la romana,Flan
1,1,6.5,0,1,16,Grill,Traditional,Alitas BBQ,Costillas BBQ,Tarta de manzana
1,1,6.5,0,1,17,Mediterranean,Traditional,Falafel,Lubina,Fruta
1,1,6.5,0,1,18,Mediterranean,Business,Berenjena rellena,Brochetas de pavo,Macedonia
1,1,6.5,0,1,19,Grill,Business,Nachos con queso,Costillas BBQ,Batido
1,1,6.5,0,1,20,Italian,Business,Sopa de tomate,Pizza Margarita,Tiramisú
2,1,8.6,0,1,1,Grill,Gourmet,Champiñones,Costillas BBQ,Tarta de manzana
2,1,8.6,0,1,2,Spanish,Traditional,Lentejas estofadas,Merluza a la romana,Flan
2,1,8.6,0,1,3,Italian,Business,Tortellini nata,Lasagna,Gelato
2,1,8.6,0,1,4,Italian,Business,Ravioli boloñesa,Lasagna,Gelato
2,1,8.6,0,1,5,Italian,Gourmet,Ravioli boloñesa,Lasagna,Profiteroles
2,1,8.6,0,1,6,Mediterranean,Traditional,Berenjena rellena,Brochetas de pavo,Fruta
2,1,8.6,0,1,7,Spanish,Family,Crema de verduras,Tortilla de patata,Flan
2,1,8.6,0,1,8,Mediterranean,Family,Sopa de marisco,Salmón plancha,Yogur con miel
2,1,8.6,0,1,9,Italian,Traditional,Minestrone,Escalope Milanese,Profiteroles
2,1,8.6,0,1,10,Mediterranean,Gourmet,Falafel,Pollo al horno,Yogur con miel
2,1,8.6,0,1,11,Italian,Traditional,Tortellini nata,Pizza Margarita,Profiteroles
2,1,8.6,0,1,12,Mediterranean,Traditional,Berenjena rellena,Brochetas de pavo,Yogur con miel
2,1,8.6,0,1,13,Grill,Gourmet,Alitas BBQ,Entrecot,Cheesecake
2,1,8.6,0,1,14,Spanish,Traditional,Potaje de garbanzos,Filete de ternera,Arroz con leche
2,1,8.6,0,1,15,Spanish,Business,Crema de verduras,Carrilleras al vino,Fruta
2,1,8.6,0,1,16,Grill,Traditional,Alitas BBQ,Secreto Ibérico,Brownie
2,1,8.6,0,1,17,Mediterranean,Traditional,Falafel,Lubina,Sorbete
2,1,8.6,0,1,18,Mediterranean,Business,Falafel,Salmón plancha,Fruta
2,1,8.6,0,1,19,Grill,Business,Nachos con queso,Costillas BBQ,Brownie
2,1,8.6,0,1,20,Italian,Business,Minestrone,Pizza Margarita,Gelato
3,1,8.6,0,1,1,Grill,Gourmet,Champiñones,Secreto Ibérico,Tarta de manzana
3,1,8.6,0,1,2,Spanish,Traditional,Paella Valenciana,Merluza a la romana,Arroz con leche
3,1,8.6,0,1,3,Italian,Business,Tortellini nata,Risotto de setas,Tiramisú
3,1,8.6,0,1,4,Italian,Business,Sopa de tomate,Lasagna,Gelato
3,1,8.6,0,1,5,Italian,Gourmet,Tortellini nata,Lasagna,Profiteroles
3,1,8.6,0,1,6,Mediterranean,Traditional,Sopa de marisco,Pollo al horno,Macedonia
3,1,8.6,0,1,7,Spanish,Family,Paella Valenciana,Carrilleras al vino,Flan
3,1,8.6,0,1,8,Mediterranean,Family,Falafel,Pollo al horno,Sorbete
3,1,8.6,0,1,9,Italian,Traditional,Tortellini nata,Escalope Milanese,Panna Cotta
3,1,8.6,0,1,10,Mediterranean,Gourmet,Crema de calabacín,Pollo al horno,Macedonia
3,1,8.6,0,1,11,Italian,Traditional,Minestrone,Escalope Milanese,Gelato
3,1,8.6,0,1,12,Mediterranean,Traditional,Crema de calabacín,Brochetas de pavo,Macedonia
3,1,8.6,0,1,13,Grill,Gourmet,Sopa de cebolla,Entrecot,Cheesecake
3,1,8.6,0,1,14,Spanish,Traditional,Paella Valenciana,Filete de ternera,Arroz con leche
3,1,8.6,0,1,15,Spanish,Business,Paella Valenciana,Merluza a la romana,Fruta
3,1,8.6,0,1,16,Grill,Traditional,Sopa de cebolla,Secreto Ibérico,Brownie
3,1,8.6,0,1,17,Mediterranean,Traditional,Falafel,Lubina,Sorbete
3,1,8.6,0,1,18,Mediterranean,Business,Falafel,Pollo al horno,Macedonia
3,1,8.6,0,1,19,Grill,Business,Champiñones,Secreto Ibérico,Brownie
3,1,8.6,0,1,20,Italian,Business,Ravioli boloñesa,Pizza Margarita,Profiteroles
4,1,5.5,0,0,1,Grill,Gourmet,Champiñones,Costillas BBQ,Cheesecake
4,1,5.5,0,0,2,Spanish,Traditional,Lentejas estofadas,Merluza a la romana,Fruta
4,1,5.5,0,0,3,Italian,Business,Tortellini nata,Risotto de setas,Tiramisú
4,1,5.5,0,0,4,Italian,Business,Ravioli boloñesa,Risotto de setas,Gelato
4,1,5.5,0,0,5,Italian,Gourmet,Tortellini nata,Lasagna,Profiteroles
4,1,5.5,0,0,6,Mediterranean,Traditional,Berenjena rellena,Pollo al horno,Macedonia
4,1,5.5,0,0,7,Spanish,Family,Crema de verduras,Carrilleras al vino,Natillas
4,1,5.5,0,0,8,Mediterranean,Family,Sopa de marisco,Pollo al horno,Yogur con miel
4,1,5.5,0,0,9,Italian,Traditional,Sopa de tomate,Risotto de setas,Panna Cotta
4,1,5.5,0,0,10,Mediterranean,Gourmet,Crema de calabacín,Pollo al horno,Fruta
4,1,5.5,0,0,11,Italian,Traditional,Ravioli boloñesa,Pizza Margarita,Panna Cotta
4,1,5.5,0,0,12,Mediterranean,Traditional,Falafel,Brochetas de pavo,Yogur con miel
4,1,5.5,0,0,13,Grill,Gourmet,Alitas BBQ,Entrecot,Cheesecake
4,1,5.5,0,0,14,Spanish,Traditional,Crema de verduras,Carrilleras al vino,Fruta
4,1,5.5,0,0,15,Spanish,Business,Crema de verduras,Merluza a la romana,Fruta
4,1,5.5,0,0,16,Grill,Traditional,Alitas BBQ,Secreto Ibérico,Brownie
4,1,5.5,0,0,17,Mediterranean,Traditional,Falafel,Brochetas de pavo,Sorbete
4,1,5.5,0,0,18,Mediterranean,Business,Falafel,Lubina,Macedonia
4,1,5.5,0,0,19,Grill,Business,Nachos con queso,Secreto Ibérico,Batido
